sku,store_view_code,attribute_set_code,product_type,series_name,model,categories,brand_name,manufacturer,product_websites,name,short_description,description,weight,length,width,height,primary_battery,display,wireless,memory,keyboard,video_card,hard_drive,optical_drive,power_cord,documentation,hard_drive_software,color_choice,packaging,processor_label,power_supply,carrying_cases,warranty,product_online,tax_class_name,visibility,price,colors,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
NS12T5IN001P,,Default,simple,MAGUS,NS12T5IN001P,"MAGUS, MAGUS 2 in 1 Laptops",AVITA,Alco,base,"AVITA MAGUS NS12T5IN001P 12.2-inch Laptop (Celeron N3350 / 4GB RAM / 64GB+64GB SSD / Windows 10 Home / TFT / Intel HD Graphics / 1.41Kg), Steel Blue","MAGUS is both a recreational gadget and the best partner in the office. The 2-in-1 comes vivid color line-up with a 12.2? 1920x1200 IPS touch screen that offers ultra-wide viewing angle. With a keyboard cover, the MAGUS 12.2"" 2-in-1 transforms from a tablet into a laptop by simply opening the built-in stand, enabling users to stay productive with ease anytime, anywhere.","MAGUS is both a recreational gadget and the best partner in the office. The 2-in-1 comes vivid color line-up with a 12.2? 1920x1200 IPS touch screen that offers ultra-wide viewing angle. With a keyboard cover, the MAGUS 12.2"" 2-in-1 transforms from a tablet into a laptop by simply opening the built-in stand, enabling users to stay productive with ease anytime, anywhere.<br/><table><tr><th>Weight</th><td>1.41</td></tr><tr><th>Length</th><td>29.9</td><th>Width</th><td>29.9</td></tr><tr><th>Height</th><td>22.2</td><th>Primary Battery</th><td>Li-ion Battery, 3750 mAH</td></tr><tr><th>Display</th><td>12.2"" TFT, (1920 x 1200) IPS Touch Screen</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth v4.0</td></tr><tr><th>Memory</th><td>4GB DDR3</td><th>Keyboard</th><td>English Travel Keyboard</td></tr><tr><th>Video Card</th><td>Intel? HD Graphics 500</td><th>Hard Drive</th><td>
64GB eMMC + 64GB microSD card</td></tr><tr><th>Optical Drive</th><td>Not Included</td><th>Power Cord</th><td>Included</td></tr><tr><th>Documentation</th><td>User Guide</td><th>Hard Drive Software</th><td>eMMC</td></tr><tr><th>Color Choice</th><td>Steel Blue, Charcoal Grey, Seashell pink, Pastel Violet</td><th>Packaging</th><td>Standard Packaging</td></tr><tr><th>Processor Label</th><td>Celeron</td><th>Power Supply</th><td>Yes, India Plug</td></tr><tr><th>Carrying Cases</th><td>Standard Carrying Case</td><th>Warranty</th><td>1 Year Warranty</td></tr></table>",1.41,29.9,29.9,22.2,"Li-ion Battery, 3750 mAH","12.2"" TFT, (1920 x 1200) IPS Touch Screen","IEEE 802.11 b/g/n/ac, Bluetooth v4.0",4GB DDR3,English Travel Keyboard,Intel? HD Graphics 500,"
64GB eMMC + 64GB microSD card",Not Included,Included,User Guide,eMMC,"Steel Blue, Charcoal Grey, Seashell pink, Pastel Violet",Standard Packaging,Celeron,"Yes, India Plug",Standard Carrying Case,1 Year Warranty,1,Taxable Goods,"Catalog, Search",21490,Steel Blue,,,,avita-magus-ns12t5in001p-12.2-inch laptop-celeron-n3350-4gb-ram-64gb-64gb ssd-windows 10-home-tft-intel-hd-graphics-1.41kg-steel-blue,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NS12T5IN002P,,Default,simple,MAGUS,NS12T5IN002P,"MAGUS, MAGUS 2 in 1 Laptops",AVITA,Alco,base,"AVITA MAGUS NS12T5IN002P 12.2-inch Laptop (Celeron N3350 / 4GB RAM / 64GB+64GB SSD / Windows 10 Home / TFT/ Intel HD Graphics / 1.41Kg), Charcoal Grey","MAGUS is both a recreational gadget and the best partner in the office. The 2-in-1 comes vivid color line-up with a 12.2? 1920x1200 IPS touch screen that offers ultra-wide viewing angle. With a keyboard cover, the MAGUS 12.2"" 2-in-1 transforms from a tablet into a laptop by simply opening the built-in stand, enabling users to stay productive with ease anytime, anywhere.","MAGUS is both a recreational gadget and the best partner in the office. The 2-in-1 comes vivid color line-up with a 12.2? 1920x1200 IPS touch screen that offers ultra-wide viewing angle. With a keyboard cover, the MAGUS 12.2"" 2-in-1 transforms from a tablet into a laptop by simply opening the built-in stand, enabling users to stay productive with ease anytime, anywhere.<br/><table><tr><th>Weight</th><td>1.41</td></tr><tr><th>Length</th><td>29.9</td><th>Width</th><td>29.9</td></tr><tr><th>Height</th><td>22.2</td><th>Primary Battery</th><td>Li-ion Battery, 3750 mAH</td></tr><tr><th>Display</th><td>12.2"" TFT, (1920 x 1200) IPS Touch Screen</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth v4.0</td></tr><tr><th>Memory</th><td>4GB DDR3</td><th>Keyboard</th><td>English Travel Keyboard</td></tr><tr><th>Video Card</th><td>Intel? HD Graphics 500</td><th>Hard Drive</th><td>
64GB eMMC + 64GB microSD card</td></tr><tr><th>Optical Drive</th><td>Not Included</td><th>Power Cord</th><td>Included</td></tr><tr><th>Documentation</th><td>User Guide</td><th>Hard Drive Software</th><td>eMMC</td></tr><tr><th>Color Choice</th><td>Steel Blue, Charcoal Grey, Seashell pink, Pastel Violet</td><th>Packaging</th><td>Standard Packaging</td></tr><tr><th>Processor Label</th><td>Celeron</td><th>Power Supply</th><td>Yes, India Plug</td></tr><tr><th>Carrying Cases</th><td>Standard Carrying Case</td><th>Warranty</th><td>1 Year Warranty</td></tr></table>",1.41,29.9,29.9,22.2,"Li-ion Battery, 3750 mAH","12.2"" TFT, (1920 x 1200) IPS Touch Screen","IEEE 802.11 b/g/n/ac, Bluetooth v4.0",4GB DDR3,English Travel Keyboard,Intel? HD Graphics 500,"
64GB eMMC + 64GB microSD card",Not Included,Included,User Guide,eMMC,"Steel Blue, Charcoal Grey, Seashell pink, Pastel Violet",Standard Packaging,Celeron,"Yes, India Plug",Standard Carrying Case,1 Year Warranty,1,Taxable Goods,"Catalog, Search",21490,Charcoal Grey,,,,avita-magus-ns12t5in002p-12.2-inch laptop-celeron-n3350-4gb-ram-64gb-64gb ssd-windows 10-home-tft-intel-hd-graphics-1.41kg-charcoal-grey,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NS12T5IN003P,,Default,simple,MAGUS,NS12T5IN003P,"MAGUS, MAGUS 2 in 1 Laptops",AVITA,Alco,base,"AVITA MAGUS NS12T5IN003P 12.2-inch Laptop (Celeron N3350 /4GB RAM / 64GB+64GB SSD / Windows 10 Home / TFT / Intel HD Graphics / 1.41Kg), Seashell pink","MAGUS is both a recreational gadget and the best partner in the office. The 2-in-1 comes vivid color line-up with a 12.2? 1920x1200 IPS touch screen that offers ultra-wide viewing angle. With a keyboard cover, the MAGUS 12.2"" 2-in-1 transforms from a tablet into a laptop by simply opening the built-in stand, enabling users to stay productive with ease anytime, anywhere.","MAGUS is both a recreational gadget and the best partner in the office. The 2-in-1 comes vivid color line-up with a 12.2? 1920x1200 IPS touch screen that offers ultra-wide viewing angle. With a keyboard cover, the MAGUS 12.2"" 2-in-1 transforms from a tablet into a laptop by simply opening the built-in stand, enabling users to stay productive with ease anytime, anywhere.<br/><table><tr><th>Weight</th><td>1.41</td></tr><tr><th>Length</th><td>29.9</td><th>Width</th><td>22.9</td></tr><tr><th>Height</th><td>22.2</td><th>Primary Battery</th><td>Li-ion Battery, 3750 mAH</td></tr><tr><th>Display</th><td>12.2"" TFT, (1920 x 1200) IPS Touch Screen</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth v4.0</td></tr><tr><th>Memory</th><td>4GB DDR3</td><th>Keyboard</th><td>English Travel Keyboard</td></tr><tr><th>Video Card</th><td>Intel? HD Graphics 500</td><th>Hard Drive</th><td>
64GB eMMC + 64GB microSD card</td></tr><tr><th>Optical Drive</th><td>Not Included</td><th>Power Cord</th><td>Included</td></tr><tr><th>Documentation</th><td>User Guide</td><th>Hard Drive Software</th><td>eMMC</td></tr><tr><th>Color Choice</th><td>Steel Blue, Charcoal Grey, Seashell pink, Pastel Violet</td><th>Packaging</th><td>Standard Packaging</td></tr><tr><th>Processor Label</th><td>Celeron</td><th>Power Supply</th><td>Yes, India Plug</td></tr><tr><th>Carrying Cases</th><td>Standard Carrying Case</td><th>Warranty</th><td>1 Year Warranty</td></tr></table>",1.41,29.9,22.9,22.2,"Li-ion Battery, 3750 mAH","12.2"" TFT, (1920 x 1200) IPS Touch Screen","IEEE 802.11 b/g/n/ac, Bluetooth v4.0",4GB DDR3,English Travel Keyboard,Intel? HD Graphics 500,"
64GB eMMC + 64GB microSD card",Not Included,Included,User Guide,eMMC,"Steel Blue, Charcoal Grey, Seashell pink, Pastel Violet",Standard Packaging,Celeron,"Yes, India Plug",Standard Carrying Case,1 Year Warranty,1,Taxable Goods,"Catalog, Search",21490,Seashell pink,,,,avita-magus-ns12t5in003p-12.2-inch-laptop-celeron-n3350-4gb-ram-64gb-64gb ssd-windows 10-home-tft-intel-hd-graphics-1.41kg-seashell-pink,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NS12T5IN004P,,Default,simple,MAGUS,NS12T5IN004P,"MAGUS, MAGUS 2 in 1 Laptops",AVITA,Alco,base,"AVITA MAGUS NS12T5IN004P 12.2-inch Laptop (Celeron N3350 / 4GB RAM / 64GB+64GB SSD / Windows 10 Home/ TFT / Intel HD Graphics / 1.41Kg), Pastel Violet","MAGUS is both a recreational gadget and the best partner in the office. The 2-in-1 comes vivid color line-up with a 12.2? 1920x1200 IPS touch screen that offers ultra-wide viewing angle. With a keyboard cover, the MAGUS 12.2"" 2-in-1 transforms from a tablet into a laptop by simply opening the built-in stand, enabling users to stay productive with ease anytime, anywhere.","MAGUS is both a recreational gadget and the best partner in the office. The 2-in-1 comes vivid color line-up with a 12.2? 1920x1200 IPS touch screen that offers ultra-wide viewing angle. With a keyboard cover, the MAGUS 12.2"" 2-in-1 transforms from a tablet into a laptop by simply opening the built-in stand, enabling users to stay productive with ease anytime, anywhere.<br/><table><tr><th>Weight</th><td>1.41</td></tr><tr><th>Length</th><td>29.9</td><th>Width</th><td>22.9</td></tr><tr><th>Height</th><td>22.2</td><th>Primary Battery</th><td>Li-ion Battery, 3750 mAH</td></tr><tr><th>Display</th><td>12.2"" TFT, (1920 x 1200) IPS Touch Screen</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth v4.0</td></tr><tr><th>Memory</th><td>4GB DDR3</td><th>Keyboard</th><td>English Travel Keyboard</td></tr><tr><th>Video Card</th><td>Intel? HD Graphics 500</td><th>Hard Drive</th><td>
64GB eMMC + 64GB microSD card</td></tr><tr><th>Optical Drive</th><td>Not Included</td><th>Power Cord</th><td>Included</td></tr><tr><th>Documentation</th><td>User Guide</td><th>Hard Drive Software</th><td>eMMC</td></tr><tr><th>Color Choice</th><td>Steel Blue, Charcoal Grey, Seashell pink, Pastel Violet</td><th>Packaging</th><td>Standard Packaging</td></tr><tr><th>Processor Label</th><td>Celeron</td><th>Power Supply</th><td>Yes, India Plug</td></tr><tr><th>Carrying Cases</th><td>Standard Carrying Case</td><th>Warranty</th><td>1 Year Warranty</td></tr></table>",1.41,29.9,22.9,22.2,"Li-ion Battery, 3750 mAH","12.2"" TFT, (1920 x 1200) IPS Touch Screen","IEEE 802.11 b/g/n/ac, Bluetooth v4.0",4GB DDR3,English Travel Keyboard,Intel? HD Graphics 500,"
64GB eMMC + 64GB microSD card",Not Included,Included,User Guide,eMMC,"Steel Blue, Charcoal Grey, Seashell pink, Pastel Violet",Standard Packaging,Celeron,"Yes, India Plug",Standard Carrying Case,1 Year Warranty,1,Taxable Goods,"Catalog, Search",21490,Pastel Violet,,,,avita-magus-ns12t5in004p-12.2-inch laptop-celeron-n3350-4gb-ram-64gb-64gb ssd-windows 10-home-tft-intel-hd-graphics-1.41kg-pastel-violet,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
